time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-02 00:00:00+00:00,,,57.0,2.0
2023-08-03 00:00:00+00:00,,,35.0,4.0
2023-08-04 00:00:00+00:00,,,116.0,3.0
2023-08-05 00:00:00+00:00,1.0,1.0,,
2023-08-06 00:00:00+00:00,2.0,2.0,6.0,1.0
2023-08-07 00:00:00+00:00,1.0,1.0,5.0,2.0
2023-08-08 00:00:00+00:00,,,51.0,4.0
2023-08-09 00:00:00+00:00,,,41.0,4.0
2023-08-10 00:00:00+00:00,,,15.0,2.0
2023-08-11 00:00:00+00:00,2.0,2.0,9.0,1.0
2023-08-13 00:00:00+00:00,,,2.0,2.0
2023-08-14 00:00:00+00:00,,,4.0,2.0
2023-08-15 00:00:00+00:00,,,20.0,1.0
