referrer,views_total,views_unique
Google,65,12
arrow.com,46,3
robruark.com,31,2
Bing,20,2
cn.bing.com,2,2
statics.teams.cdn.office.net,2,1
DuckDuckGo,1,1
yandex.ru,1,1
