url_path,views_total,views_unique
/ArrowElectronics/10BASE-T1L-MC,30,19
/ArrowElectronics/10BASE-T1L-MC/blob/main/HW_Package/Schematics/eI_AIT1L_16_00970_02.pdf,18,6
/ArrowElectronics/10BASE-T1L-MC/tree/main/HW_Package,16,5
/ArrowElectronics/10BASE-T1L-MC/tree/main/HW_Package/Schematics,16,3
/ArrowElectronics/10BASE-T1L-MC/wiki,9,4
/ArrowElectronics/10BASE-T1L-MC/tree/main/HW_Package/BOM,8,2
/ArrowElectronics/10BASE-T1L-MC/tree/main/ME_Package,7,3
/ArrowElectronics/10BASE-T1L-MC/tree/main/HW_Package/Block%20Diagram,7,2
/ArrowElectronics/10BASE-T1L-MC/tree/main/Manuals,7,2
/ArrowElectronics/10BASE-T1L-MC/tree/main/HW_Package/Gerber,6,1
