time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,1.0,1.0,2,1
2023-11-05 00:00:00+00:00,,,1,1
2023-11-06 00:00:00+00:00,,,15,3
2023-11-07 00:00:00+00:00,,,67,7
2023-11-08 00:00:00+00:00,3.0,2.0,93,5
2023-11-09 00:00:00+00:00,1.0,1.0,116,5
2023-11-10 00:00:00+00:00,1.0,1.0,133,5
2023-11-11 00:00:00+00:00,,,17,2
2023-11-13 00:00:00+00:00,1.0,1.0,35,8
2023-11-14 00:00:00+00:00,,,34,5
2023-11-15 00:00:00+00:00,,,58,8
2023-11-16 00:00:00+00:00,,,4,3
2023-11-17 00:00:00+00:00,,,7,3
