time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-12 00:00:00+00:00,,,19,5
2025-08-13 00:00:00+00:00,,,11,3
2025-08-14 00:00:00+00:00,,,18,4
2025-08-15 00:00:00+00:00,,,4,2
2025-08-16 00:00:00+00:00,,,1,1
2025-08-17 00:00:00+00:00,,,4,1
2025-08-18 00:00:00+00:00,2.0,2.0,6,3
2025-08-19 00:00:00+00:00,,,1,1
2025-08-20 00:00:00+00:00,,,1,1
2025-08-21 00:00:00+00:00,1.0,1.0,5,1
2025-08-22 00:00:00+00:00,,,25,4
2025-08-23 00:00:00+00:00,2.0,1.0,21,4
2025-08-24 00:00:00+00:00,3.0,3.0,1,1
2025-08-25 00:00:00+00:00,,,47,5
