time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-27 00:00:00+00:00,1.0,1.0,23.0,2.0
2023-05-28 00:00:00+00:00,,,3.0,1.0
2023-05-29 00:00:00+00:00,1.0,1.0,6.0,1.0
2023-05-31 00:00:00+00:00,,,19.0,3.0
2023-06-01 00:00:00+00:00,,,1.0,1.0
2023-06-02 00:00:00+00:00,,,21.0,3.0
2023-06-03 00:00:00+00:00,,,1.0,1.0
2023-06-05 00:00:00+00:00,,,20.0,3.0
2023-06-06 00:00:00+00:00,1.0,1.0,145.0,9.0
2023-06-07 00:00:00+00:00,,,24.0,4.0
2023-06-08 00:00:00+00:00,1.0,1.0,23.0,4.0
2023-06-09 00:00:00+00:00,1.0,1.0,,
