time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-12 00:00:00+00:00,,,77.0,8.0
2024-06-13 00:00:00+00:00,1.0,1.0,20.0,5.0
2024-06-14 00:00:00+00:00,1.0,1.0,58.0,5.0
2024-06-15 00:00:00+00:00,,,2.0,1.0
2024-06-16 00:00:00+00:00,1.0,1.0,,
2024-06-17 00:00:00+00:00,,,45.0,2.0
2024-06-18 00:00:00+00:00,1.0,1.0,108.0,3.0
2024-06-19 00:00:00+00:00,,,46.0,4.0
2024-06-20 00:00:00+00:00,,,8.0,3.0
2024-06-21 00:00:00+00:00,,,31.0,4.0
2024-06-22 00:00:00+00:00,,,79.0,3.0
2024-06-23 00:00:00+00:00,,,4.0,1.0
2024-06-24 00:00:00+00:00,,,48.0,7.0
2024-06-25 00:00:00+00:00,,,172.0,8.0
