time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-27 00:00:00+00:00,,,42,2
2023-08-28 00:00:00+00:00,1.0,1.0,19,3
2023-08-29 00:00:00+00:00,3.0,1.0,46,4
2023-08-30 00:00:00+00:00,,,35,6
2023-08-31 00:00:00+00:00,,,4,3
2023-09-01 00:00:00+00:00,,,2,2
2023-09-02 00:00:00+00:00,,,16,2
2023-09-03 00:00:00+00:00,,,19,1
2023-09-04 00:00:00+00:00,,,16,6
2023-09-05 00:00:00+00:00,,,5,3
2023-09-06 00:00:00+00:00,,,37,4
2023-09-07 00:00:00+00:00,,,8,5
2023-09-08 00:00:00+00:00,,,93,2
2023-09-09 00:00:00+00:00,,,28,1
