time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-03 00:00:00+00:00,,,4,3
2023-10-04 00:00:00+00:00,1.0,1.0,1,1
2023-10-05 00:00:00+00:00,,,82,4
2023-10-06 00:00:00+00:00,,,180,6
2023-10-07 00:00:00+00:00,,,11,3
2023-10-08 00:00:00+00:00,,,18,2
2023-10-09 00:00:00+00:00,,,119,5
2023-10-10 00:00:00+00:00,2.0,1.0,118,3
2023-10-11 00:00:00+00:00,,,24,3
2023-10-12 00:00:00+00:00,1.0,1.0,40,4
2023-10-13 00:00:00+00:00,,,1,1
2023-10-14 00:00:00+00:00,,,1,1
2023-10-15 00:00:00+00:00,1.0,1.0,18,1
2023-10-16 00:00:00+00:00,,,10,3
