time_iso8601,stars_cumulative
2019-10-14 00:00:00+00:00,1
2019-10-30 00:00:00+00:00,2
2020-01-07 00:00:00+00:00,3
2020-03-18 00:00:00+00:00,4
2020-06-12 00:00:00+00:00,5
2021-08-15 00:00:00+00:00,6
2022-12-05 00:00:00+00:00,7
