time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-17 00:00:00+00:00,,,36,4
2024-01-18 00:00:00+00:00,,,32,6
2024-01-19 00:00:00+00:00,1.0,1.0,38,9
2024-01-20 00:00:00+00:00,1.0,1.0,5,2
2024-01-22 00:00:00+00:00,,,41,3
2024-01-23 00:00:00+00:00,,,53,8
2024-01-24 00:00:00+00:00,,,20,8
2024-01-25 00:00:00+00:00,,,10,1
2024-01-26 00:00:00+00:00,,,3,1
2024-01-27 00:00:00+00:00,,,39,2
2024-01-28 00:00:00+00:00,,,8,2
2024-01-29 00:00:00+00:00,,,48,7
2024-01-30 00:00:00+00:00,,,54,7
