time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-31 00:00:00+00:00,,,1,1
2023-01-01 00:00:00+00:00,,,2,2
2023-01-02 00:00:00+00:00,,,7,3
2023-01-03 00:00:00+00:00,2.0,1.0,5,3
2023-01-04 00:00:00+00:00,,,9,3
2023-01-05 00:00:00+00:00,,,10,5
2023-01-07 00:00:00+00:00,,,22,5
2023-01-08 00:00:00+00:00,,,20,1
2023-01-09 00:00:00+00:00,,,12,4
2023-01-10 00:00:00+00:00,,,49,6
2023-01-11 00:00:00+00:00,,,80,12
2023-01-12 00:00:00+00:00,,,162,11
2023-01-13 00:00:00+00:00,1.0,1.0,146,8
