time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-12 00:00:00+00:00,,,27,1
2023-11-13 00:00:00+00:00,,,30,7
2023-11-14 00:00:00+00:00,,,37,8
2023-11-15 00:00:00+00:00,,,46,6
2023-11-16 00:00:00+00:00,,,26,6
2023-11-17 00:00:00+00:00,,,15,4
2023-11-18 00:00:00+00:00,,,6,1
2023-11-19 00:00:00+00:00,1.0,1.0,3,2
2023-11-20 00:00:00+00:00,,,9,2
2023-11-21 00:00:00+00:00,,,8,6
2023-11-22 00:00:00+00:00,,,46,7
2023-11-23 00:00:00+00:00,,,1,1
2023-11-24 00:00:00+00:00,,,5,1
2023-11-25 00:00:00+00:00,,,7,2
