time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,0,0,2,2
2026-05-24 00:00:00+00:00,1,1,0,0
2026-05-25 00:00:00+00:00,9,9,0,0
2026-05-26 00:00:00+00:00,73,57,1,1
2026-05-27 00:00:00+00:00,56,52,2,2
2026-05-28 00:00:00+00:00,33,33,10,3
2026-05-29 00:00:00+00:00,0,0,30,5
2026-05-30 00:00:00+00:00,1,1,2,2
2026-05-31 00:00:00+00:00,0,0,1,1
2026-06-01 00:00:00+00:00,1,1,8,5
2026-06-02 00:00:00+00:00,0,0,2,2
2026-06-03 00:00:00+00:00,0,0,17,4
2026-06-04 00:00:00+00:00,0,0,1,1
2026-06-05 00:00:00+00:00,0,0,12,2
