time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-08 00:00:00+00:00,,,18,3
2023-04-09 00:00:00+00:00,,,2,2
2023-04-10 00:00:00+00:00,,,31,8
2023-04-11 00:00:00+00:00,,,9,7
2023-04-12 00:00:00+00:00,,,20,3
2023-04-13 00:00:00+00:00,,,14,5
2023-04-14 00:00:00+00:00,,,19,4
2023-04-15 00:00:00+00:00,,,63,3
2023-04-16 00:00:00+00:00,,,62,5
2023-04-17 00:00:00+00:00,,,138,7
2023-04-18 00:00:00+00:00,,,16,6
2023-04-19 00:00:00+00:00,,,12,4
2023-04-20 00:00:00+00:00,,,3,1
2023-04-21 00:00:00+00:00,,,55,4
