time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,,,72,14
2023-01-27 00:00:00+00:00,,,103,12
2023-01-28 00:00:00+00:00,,,8,2
2023-01-29 00:00:00+00:00,,,28,3
2023-01-30 00:00:00+00:00,,,113,12
2023-01-31 00:00:00+00:00,,,24,5
2023-02-01 00:00:00+00:00,3.0,2.0,27,6
2023-02-02 00:00:00+00:00,,,22,5
2023-02-03 00:00:00+00:00,,,20,9
2023-02-04 00:00:00+00:00,,,4,2
2023-02-05 00:00:00+00:00,,,19,2
2023-02-06 00:00:00+00:00,1.0,1.0,28,8
2023-02-07 00:00:00+00:00,,,19,7
2023-02-08 00:00:00+00:00,,,23,7
