time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-30 00:00:00+00:00,,,54,7
2024-01-31 00:00:00+00:00,,,11,5
2024-02-01 00:00:00+00:00,,,2,2
2024-02-02 00:00:00+00:00,,,67,8
2024-02-03 00:00:00+00:00,,,16,3
2024-02-04 00:00:00+00:00,,,6,1
2024-02-05 00:00:00+00:00,,,21,5
2024-02-06 00:00:00+00:00,1.0,1.0,43,3
2024-02-07 00:00:00+00:00,,,38,9
2024-02-08 00:00:00+00:00,,,31,4
2024-02-09 00:00:00+00:00,,,2,2
2024-02-10 00:00:00+00:00,,,4,1
2024-02-11 00:00:00+00:00,,,15,1
2024-02-12 00:00:00+00:00,,,48,4
