url_path,views_total,views_unique
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki,5,2
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Reconfigurable-Motion-and-Robotics-Platform-User-Guide,3,3
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Reconfigurable-Motion-and-Robotics-Demo-Platform,3,2
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform,2,2
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Servo-Drive-FMC-Mezzanine-Board,2,1
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/GUI-Python-Script,1,1
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Motor-Wiring,1,1
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Reconfigurable-Motion-and-Robotics-Demo-Quick-Start-Guide,1,1
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Reconfigurable-Motion-and-Robotics-Drive-Demo-Platform-Architecture,1,1
/ArrowElectronics/Reconfigurable-Industrial-Robotics-Platform/wiki/Servo-Drive-Platform-FPGA-Architecture,1,1
