time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-18 00:00:00+00:00,,,2.0,2.0
2023-12-19 00:00:00+00:00,,,32.0,5.0
2023-12-20 00:00:00+00:00,,,46.0,4.0
2023-12-21 00:00:00+00:00,,,12.0,1.0
2023-12-22 00:00:00+00:00,,,7.0,2.0
2023-12-23 00:00:00+00:00,,,24.0,1.0
2023-12-24 00:00:00+00:00,,,2.0,1.0
2023-12-25 00:00:00+00:00,,,2.0,1.0
2023-12-26 00:00:00+00:00,3.0,3.0,1.0,1.0
2023-12-27 00:00:00+00:00,1.0,1.0,28.0,3.0
2023-12-29 00:00:00+00:00,,,3.0,1.0
2023-12-30 00:00:00+00:00,2.0,1.0,,
2023-12-31 00:00:00+00:00,1.0,1.0,3.0,2.0
